횡단보도ID,행정동,읍면동명,시나리오,사고건수_원본,노인비율,LANES,MAX_SPD,crossing_length_m,ped_green_base_sec,risk_score,PET_A_proxy_count,PET_A_proxy_mean,PET_A_proxy_severe,PET_A_proxy_moderate,PET_A_proxy_safe,PET_B_surrogate_count,PET_B_surrogate_mean,PET_B_surrogate_severe,PET_B_surrogate_moderate,PET_B_surrogate_safe,elderly_incomplete_cross,veh_avg_delay_sec,veh_max_delay_sec,queue_avg,queue_max
23040,중림동,봉래동2가,baseline,8.0,0.19019913136114072,2.0,50.0,7.0,14.0,6.701991313611406,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,13.753192683116074,78.3,0.049824198686156264,2.3333333333333335
23040,중림동,봉래동2가,smart,8.0,0.19019913136114072,2.0,50.0,7.0,14.0,6.701991313611406,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,13.753192683116074,78.3,0.049824198686156264,2.3333333333333335
9494,신당동,신당동,baseline,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,6.666666666666667,6.619444444444412,0.0,0.0,6.666666666666667,4.333333333333333,0.15076214322908285,3.3333333333333335,1.0,0.0,0.6666666666666666,6.506276537977694,70.76666666666667,8.476526889210761e-05,0.6666666666666666
9494,신당동,신당동,smart,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,3.6666666666666665,10.019444444444478,0.0,0.0,3.6666666666666665,6.666666666666667,-0.7276644804967854,5.333333333333333,1.3333333333333333,0.0,1.3333333333333333,6.389231896985372,72.63333333333334,0.0015112430798191491,0.6666666666666666
6122,회현동,남창동,baseline,3.0,0.2946596858638743,3.0,50.0,10.5,17.5,5.546596858638744,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9878108383382256,34.96666666666667,0.0012130125578089348,1.0
6122,회현동,남창동,smart,3.0,0.2946596858638743,3.0,50.0,10.5,17.5,5.546596858638744,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9878108383382256,34.96666666666667,0.0012130125578089348,1.0
6213,회현동,남창동,baseline,4.0,0.2946596858638743,1.0,50.0,3.5,10.5,5.4465968586387445,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,66.95566518891873,100.0,0.00011111111111111113,1.0
6213,회현동,남창동,smart,4.0,0.2946596858638743,1.0,50.0,3.5,10.5,5.4465968586387445,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,66.95566518891873,100.0,0.00011111111111111113,1.0
71666,장충동,장충동1가,baseline,5.0,0.1781831582826607,3.0,50.0,10.5,17.5,5.3818315828266075,149.66666666666666,3.610349369611246,38.333333333333336,41.333333333333336,70.0,3.3333333333333335,-3.320959378601658,3.3333333333333335,0.0,0.0,1.3333333333333333,43.40277275183458,100.0,1.9782407407407405,8.666666666666666
71666,장충동,장충동1가,smart,5.0,0.1781831582826607,3.0,50.0,10.5,17.5,5.3818315828266075,152.0,5.324467303642062,12.666666666666666,25.333333333333332,114.0,3.0,-4.716127322289856,3.0,0.0,0.0,0.3333333333333333,43.31263650667075,100.0,1.9911666666666665,8.666666666666666
125895,신당동,신당동,baseline,5.0,0.1998197792295562,2.0,60.0,7.0,14.0,5.338197792295563,106.0,9.893168392788638,17.666666666666668,20.333333333333332,68.0,0.0,,0.0,0.0,0.0,0.0,0.5955921747377085,20.3,0.0008409364165243269,1.0
125895,신당동,신당동,smart,5.0,0.1998197792295562,2.0,60.0,7.0,14.0,5.338197792295563,106.0,9.893168392788638,17.666666666666668,20.333333333333332,68.0,0.0,,0.0,0.0,0.0,0.0,0.5955921747377085,20.3,0.0008409364165243269,1.0
8430,신당동,신당동,baseline,5.0,0.1998197792295562,2.0,50.0,7.0,14.0,5.298197792295562,24.0,11.131052631578944,6.333333333333333,0.6666666666666666,17.0,13.333333333333334,0.21709518380904735,5.666666666666667,7.666666666666667,0.0,5.0,5.078738749461173,94.96666666666665,0.40726763637905017,4.666666666666667
8430,신당동,신당동,smart,5.0,0.1998197792295562,2.0,50.0,7.0,14.0,5.298197792295562,22.0,8.538730158730155,5.666666666666667,2.3333333333333335,14.0,5.333333333333333,-2.305016047814422,3.3333333333333335,2.0,0.0,1.3333333333333333,5.357193257115392,94.96666666666665,0.4475979723660684,4.666666666666667
9628,중림동,만리동2가,baseline,5.0,0.19019913136114072,2.0,50.0,7.0,14.0,5.201991313611407,152.33333333333334,4.113671264939476,82.0,22.333333333333332,48.0,0.0,,0.0,0.0,0.0,0.0,0.6947185854544619,25.333333333333332,0.001030613113123615,1.0
