횡단보도ID,seed,행정동,읍면동명,시나리오,사고건수_원본,노인비율,LANES,MAX_SPD,crossing_length_m,ped_green_base_sec,risk_score,PET_A_proxy_count,PET_A_proxy_mean,PET_A_proxy_severe,PET_A_proxy_moderate,PET_A_proxy_safe,PET_B_surrogate_count,PET_B_surrogate_mean,PET_B_surrogate_severe,PET_B_surrogate_moderate,PET_B_surrogate_safe,elderly_incomplete_cross,veh_avg_delay_sec,veh_max_delay_sec,queue_avg,queue_max
23040,42,중림동,봉래동2가,baseline,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,80.74464285714286,100.0,0.9275,3
23040,43,중림동,봉래동2가,baseline,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,79.30016583747927,100.0,0.7902777777777777,3
23040,42,중림동,봉래동2가,smart,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,80.74464285714286,100.0,0.9275,3
23040,43,중림동,봉래동2가,smart,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,79.30016583747927,100.0,0.7902777777777777,3
9494,42,신당동,신당동,baseline,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,0,,0,0,0,51,-0.7296841506095778,38,13,0,14,14.852684144818976,97.0,0.005246913580246914,1
9494,43,신당동,신당동,baseline,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,98,15.806122448979592,0,0,98,36,-1.2779900884209094,25,11,0,8,25.025,98.0,0.0077777777777777776,1
9494,42,신당동,신당동,smart,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,0,,0,0,0,20,0.562105005254645,11,9,0,4,17.405742821473158,91.0,0.0005851375073142189,1
9494,43,신당동,신당동,smart,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,101,19.871287128712872,0,0,101,17,0.7382081413491901,9,8,0,3,25.782065834279226,100.0,0.0019444444444444444,1
6122,42,회현동,남창동,baseline,3.0,0.2946596858638743,3.0,50.0,10.5,17.5,5.546596858638744,0,,0,0,0,0,,0,0,0,0,6.474480151228733,82.0,0.01193467336683417,2
6122,43,회현동,남창동,baseline,3.0,0.2946596858638743,3.0,50.0,10.5,17.5,5.546596858638744,0,,0,0,0,0,,0,0,0,0,6.710616438356165,72.0,0.014962593516209476,2
6122,42,회현동,남창동,smart,3.0,0.2946596858638743,3.0,50.0,10.5,17.5,5.546596858638744,0,,0,0,0,0,,0,0,0,0,6.474480151228733,82.0,0.01193467336683417,2
6122,43,회현동,남창동,smart,3.0,0.2946596858638743,3.0,50.0,10.5,17.5,5.546596858638744,0,,0,0,0,0,,0,0,0,0,6.710616438356165,72.0,0.014962593516209476,2
6213,42,회현동,남창동,baseline,4.0,0.2946596858638743,1.0,50.0,3.5,10.5,5.446596858638744,0,,0,0,0,0,,0,0,0,0,80.56704980842912,100.0,0.0022222222222222222,1
6213,43,회현동,남창동,baseline,4.0,0.2946596858638743,1.0,50.0,3.5,10.5,5.446596858638744,0,,0,0,0,0,,0,0,0,0,84.22481572481573,100.0,0.002037037037037037,1
6213,42,회현동,남창동,smart,4.0,0.2946596858638743,1.0,50.0,3.5,10.5,5.446596858638744,0,,0,0,0,0,,0,0,0,0,80.56704980842912,100.0,0.0022222222222222222,1
6213,43,회현동,남창동,smart,4.0,0.2946596858638743,1.0,50.0,3.5,10.5,5.446596858638744,0,,0,0,0,0,,0,0,0,0,84.22481572481573,100.0,0.002037037037037037,1
