횡단보도ID,seed,demand_profile,veh_per_hour,ped_lambda,elderly_ratio,ped_count
23040,42,seoul_commute_peak,1830.791983989962,999.0,0.1901991313611407,483
23040,43,seoul_commute_peak,2018.0669839899622,944.0,0.1901991313611407,482
23040,44,seoul_commute_peak,2090.741983989962,705.0,0.1901991313611407,344
9494,42,seoul_commute_peak,1830.791983989962,999.0,0.1998197792295562,483
9494,43,seoul_commute_peak,2018.0669839899622,944.0,0.1998197792295562,482
9494,44,seoul_commute_peak,2090.741983989962,705.0,0.1998197792295562,344
6122,42,seoul_commute_peak,1220.5279893266415,999.0,0.2946596858638743,483
6122,43,seoul_commute_peak,1345.3779893266415,944.0,0.2946596858638743,482
6122,44,seoul_commute_peak,1393.8279893266415,705.0,0.2946596858638743,344
6213,42,seoul_commute_peak,3661.583967979924,999.0,0.2946596858638743,483
6213,43,seoul_commute_peak,4036.1339679799244,944.0,0.2946596858638743,482
6213,44,seoul_commute_peak,4181.483967979924,705.0,0.2946596858638743,344
71666,42,seoul_commute_peak,1220.5279893266415,999.0,0.1781831582826607,483
71666,43,seoul_commute_peak,1345.3779893266415,944.0,0.1781831582826607,482
71666,44,seoul_commute_peak,1393.8279893266415,705.0,0.1781831582826607,344
125895,42,seoul_commute_peak,1830.791983989962,999.0,0.1998197792295562,483
125895,43,seoul_commute_peak,2018.0669839899622,944.0,0.1998197792295562,482
125895,44,seoul_commute_peak,2090.741983989962,705.0,0.1998197792295562,344
8430,42,seoul_commute_peak,1830.791983989962,999.0,0.1998197792295562,483
8430,43,seoul_commute_peak,2018.0669839899622,944.0,0.1998197792295562,482
8430,44,seoul_commute_peak,2090.741983989962,705.0,0.1998197792295562,344
9628,42,seoul_commute_peak,1830.791983989962,999.0,0.1901991313611407,483
9628,43,seoul_commute_peak,2018.0669839899622,944.0,0.1901991313611407,482
9628,44,seoul_commute_peak,2090.741983989962,705.0,0.1901991313611407,344
