횡단보도ID,lon,lat,읍면동명,LANES,ROAD_RANK,MAX_SPD,사고건수,추정AADT,행정동,노인비율,nan_flag,crossing_length_m,ped_green_base,ped_green_elderly,risk_score
10350,126.9925284699649,37.5682673073767,입정동,2.0,104.0,30.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,7.0,14.0,15.75,2.278596073765615
10352,126.99531298636944,37.568490582338555,산림동,2.0,104.0,30.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,7.0,14.0,15.75,2.278596073765615
10353,126.9961065116364,37.568559267043454,산림동,2.0,104.0,30.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,7.0,14.0,15.75,2.278596073765615
10357,127.0018610630672,37.56954338393286,방산동,2.0,104.0,30.0,1.0,26875.559786532827,을지로동,0.1558596073765615,False,7.0,14.0,15.75,2.778596073765615
10358,127.00025385561533,37.569126886119214,주교동,2.0,104.0,30.0,1.0,26875.559786532827,을지로동,0.1558596073765615,False,7.0,14.0,15.75,2.778596073765615
10359,127.00232539560004,37.569434670593154,방산동,2.0,104.0,30.0,2.0,26875.559786532827,을지로동,0.1558596073765615,False,7.0,14.0,15.75,3.278596073765615
8452,127.00904163505864,37.556655239380504,신당동,4.0,104.0,50.0,0.0,26875.559786532827,신당동,0.1998197792295562,False,14.0,21.0,24.5,3.398197792295562
8459,127.00763809560276,37.54969475962239,신당동,2.0,104.0,50.0,1.0,26875.559786532827,신당동,0.1998197792295562,False,7.0,14.0,15.75,3.298197792295562
8469,127.00968223143316,37.55317318377117,신당동,2.0,104.0,50.0,3.0,26875.559786532827,신당동,0.1998197792295562,False,7.0,14.0,15.75,4.298197792295562
9774,127.0022343368896,37.55296868615897,장충동2가,2.0,104.0,50.0,0.0,26875.559786532827,장충동,0.1781831582826607,False,7.0,14.0,15.75,2.581831582826607
10360,127.00225352101042,37.56956511811492,방산동,2.0,104.0,30.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,7.0,14.0,15.75,2.278596073765615
10363,127.0124286850836,37.56970408563532,신당동,2.0,104.0,30.0,0.0,26875.559786532827,신당동,0.1998197792295562,False,7.0,14.0,15.75,2.718197792295562
10366,127.01251206408207,37.56970178829955,신당동,2.0,104.0,30.0,0.0,26875.559786532827,신당동,0.1998197792295562,False,7.0,14.0,15.75,2.718197792295562
10368,127.01916000344528,37.57104284412443,황학동,1.0,104.0,30.0,2.0,26875.559786532827,황학동,0.1717813302883243,False,3.5,10.5,11.375,3.137813302883243
10369,126.96391161344133,37.5590586750625,중림동,1.0,104.0,30.0,1.0,26875.559786532827,중림동,0.1901991313611407,False,3.5,10.5,11.375,2.8219913136114068
10376,126.96917746329122,37.55521377128667,봉래동2가,3.0,104.0,50.0,0.0,26875.559786532827,중림동,0.1901991313611407,False,10.5,17.5,20.125,3.001991313611407
10377,126.9692179908348,37.55521734894932,봉래동2가,3.0,104.0,50.0,0.0,26875.559786532827,중림동,0.1901991313611407,False,10.5,17.5,20.125,3.001991313611407
10378,126.96922352456824,37.555293035489186,봉래동2가,3.0,104.0,50.0,0.0,26875.559786532827,중림동,0.1901991313611407,False,10.5,17.5,20.125,3.001991313611407
10381,126.9764525015268,37.55415182026164,남대문로5가,2.0,104.0,50.0,0.0,26875.559786532827,중림동,0.1901991313611407,False,7.0,14.0,15.75,2.701991313611407
10382,126.976424483047,37.55349426337558,남대문로5가,2.0,104.0,50.0,0.0,26875.559786532827,중림동,0.1901991313611407,False,7.0,14.0,15.75,2.701991313611407
10383,126.97648672653058,37.55501002744776,남대문로5가,2.0,104.0,50.0,4.0,26875.559786532827,중림동,0.1901991313611407,False,7.0,14.0,15.75,4.701991313611407
8339,127.0079939678992,37.55799067413339,장충동2가,4.0,104.0,50.0,2.0,26875.559786532827,장충동,0.1781831582826607,False,14.0,21.0,24.5,4.181831582826607
8340,127.0082210964322,37.558237820098846,장충동1가,4.0,104.0,50.0,4.0,26875.559786532827,장충동,0.1781831582826607,False,14.0,21.0,24.5,5.181831582826607
8369,127.01163269719552,37.55385956814979,신당동,4.0,104.0,60.0,1.0,26875.559786532827,신당동,0.1998197792295562,False,14.0,21.0,24.5,3.938197792295562
9628,126.96296755148786,37.5520955451973,만리동2가,2.0,104.0,50.0,5.0,26875.559786532827,중림동,0.1901991313611407,False,7.0,14.0,15.75,5.201991313611407
9632,126.97156218080158,37.55981146010439,순화동,2.0,104.0,40.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,7.0,14.0,15.75,2.318596073765615
9633,126.97121879422104,37.55940398899696,순화동,4.0,104.0,40.0,3.0,26875.559786532827,을지로동,0.1558596073765615,False,14.0,21.0,24.5,4.418596073765615
9634,126.9670777439272,37.56587719063068,충정로1가,1.0,103.0,50.0,0.0,32310.64301369863,중림동,0.1901991313611407,False,3.5,10.5,11.375,2.401991313611407
9636,126.97004701881298,37.56738612229849,정동,1.0,104.0,30.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,3.5,10.5,11.375,1.978596073765615
9637,126.96986577203516,37.56765838201035,정동,1.0,104.0,30.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,3.5,10.5,11.375,1.978596073765615
9639,126.9715740505189,37.56640243216203,정동,1.0,104.0,30.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,3.5,10.5,11.375,1.978596073765615
9650,126.97593370014896,37.55844843756216,남창동,1.0,104.0,50.0,2.0,26875.559786532827,회현동,0.2946596858638743,False,3.5,10.5,11.375,4.446596858638744
15436,127.00974565147868,37.56559647713683,을지로7가,2.0,104.0,30.0,0.0,26875.559786532827,을지로동,0.1558596073765615,False,7.0,14.0,15.75,2.278596073765615
14914,126.96780689201876,37.5550583276416,만리동1가,2.0,104.0,50.0,0.0,26875.559786532827,중림동,0.1901991313611407,False,7.0,14.0,15.75,2.701991313611407
14921,126.96850883651592,37.55717884338945,만리동1가,1.0,104.0,50.0,2.0,26875.559786532827,중림동,0.1901991313611407,False,3.5,10.5,11.375,3.401991313611407
14937,126.96918741878171,37.5556052746049,봉래동2가,3.0,104.0,50.0,0.0,26875.559786532827,중림동,0.1901991313611407,False,10.5,17.5,20.125,3.001991313611407
14942,126.96721196854988,37.55807330680695,중림동,1.0,104.0,30.0,0.0,26875.559786532827,중림동,0.1901991313611407,False,3.5,10.5,11.375,2.3219913136114068
14949,126.96810911214868,37.557519727545895,중림동,1.0,104.0,30.0,0.0,26875.559786532827,중림동,0.1901991313611407,False,3.5,10.5,11.375,2.3219913136114068
