횡단보도ID,행정동,읍면동명,시나리오,PET_A_proxy_고위험,PET_B_surrogate_고위험,고령자미완료횡단,차량평균지체_초,차량최대지체_초,평균대기행렬_대,최대대기행렬_대,PET_A_proxy_평균,PET_B_surrogate_평균,사고건수_원본,노인비율,LANES,MAX_SPD,crossing_length_m,ped_green_base_sec,risk_score,PET_A_proxy_count,PET_A_proxy_moderate,PET_A_proxy_safe,PET_B_surrogate_count,PET_B_surrogate_moderate,PET_B_surrogate_safe
23040,중림동,봉래동2가,baseline,0.0,0.0,0.0,18.051266810467517,79.875,0.0435514736049409,2.5,,,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0.0,0.0,0.0,0.0,0.0,0.0
23040,중림동,봉래동2가,smart,0.0,0.0,0.0,18.051266810467517,79.875,0.0435514736049409,2.5,,,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0.0,0.0,0.0,0.0,0.0,0.0
9494,신당동,신당동,baseline,0.0,6.5,2.0,6.620913513729092,68.5,0.0027409707698588,0.75,16.44047619047619,0.3459155437850714,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,12.25,0.5,11.75,7.75,1.25,0.0
9494,신당동,신당동,smart,0.0,4.0,1.25,6.43870295147625,68.75,0.0018712952549713,0.75,17.490277777777777,0.2115604320827441,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,8.0,0.0,8.0,5.0,1.0,0.0
6122,회현동,남창동,baseline,0.0,0.0,0.0,1.2392993476349417,32.875,0.0020185822937077,1.0,,,3.0,0.2946596858638743,3.0,50.0,10.5,17.5,5.546596858638744,0.0,0.0,0.0,0.0,0.0,0.0
6122,회현동,남창동,smart,0.0,0.0,0.0,1.2392993476349417,32.875,0.0020185822937077,1.0,,,3.0,0.2946596858638743,3.0,50.0,10.5,17.5,5.546596858638744,0.0,0.0,0.0,0.0,0.0,0.0
6213,회현동,남창동,baseline,0.0,0.0,0.0,69.43862197256458,100.0,0.0005787037037037,1.0,,,4.0,0.2946596858638743,1.0,50.0,3.5,10.5,5.446596858638744,0.0,0.0,0.0,0.0,0.0,0.0
6213,회현동,남창동,smart,0.0,0.0,0.0,69.43862197256458,100.0,0.0005787037037037,1.0,,,4.0,0.2946596858638743,1.0,50.0,3.5,10.5,5.446596858638744,0.0,0.0,0.0,0.0,0.0,0.0
71666,장충동,장충동1가,baseline,22.5,21.75,6.75,49.874575237844816,100.0,2.3999007936507937,8.5,5.483798128120207,-41.311088350700814,5.0,0.1781831582826607,3.0,50.0,10.5,17.5,5.3818315828266075,152.75,19.75,110.5,21.75,0.0,0.0
71666,장충동,장충동1가,smart,21.75,9.5,1.5,49.866297745668575,100.0,2.430238095238095,9.25,5.938724389645443,-20.798353841493633,5.0,0.1781831582826607,3.0,50.0,10.5,17.5,5.3818315828266075,169.0,20.25,127.0,9.5,0.0,0.0
125895,신당동,신당동,baseline,17.75,0.0,0.0,0.9724523862633864,27.75,0.0014692990917143,1.0,9.735176265667093,,5.0,0.1998197792295562,2.0,60.0,7.0,14.0,5.338197792295562,108.25,18.75,71.75,0.0,0.0,0.0
125895,신당동,신당동,smart,17.75,0.0,0.0,0.9724523862633864,27.75,0.0014692990917143,1.0,9.735176265667093,,5.0,0.1998197792295562,2.0,60.0,7.0,14.0,5.338197792295562,108.25,18.75,71.75,0.0,0.0,0.0
8430,신당동,신당동,baseline,3.0,23.5,8.5,5.59637492554469,95.75,0.4720919380375831,5.0,7.942550505050506,-6.9670779387437,5.0,0.1998197792295562,2.0,50.0,7.0,14.0,5.298197792295562,16.25,3.75,9.5,32.0,8.5,0.0
8430,신당동,신당동,smart,3.0,6.25,2.0,5.685967590768874,95.75,0.4920449220195529,5.25,7.199404761904762,-1.0599439688753252,5.0,0.1998197792295562,2.0,50.0,7.0,14.0,5.298197792295562,14.5,2.0,9.5,9.0,2.75,0.0
9628,중림동,만리동2가,baseline,41.75,0.0,0.0,0.7986618353561555,22.875,0.0016208586592755,1.0,4.205255086091928,,5.0,0.1901991313611407,2.0,50.0,7.0,14.0,5.201991313611407,149.75,59.25,48.75,0.0,0.0,0.0
9628,중림동,만리동2가,smart,41.75,0.0,0.0,0.7986618353561555,22.875,0.0016208586592755,1.0,4.205255086091928,,5.0,0.1901991313611407,2.0,50.0,7.0,14.0,5.201991313611407,149.75,59.25,48.75,0.0,0.0,0.0
8340,장충동,장충동1가,baseline,0.75,0.0,0.0,0.3294919736910409,15.5,0.0002546296296296,1.0,12.68975155279503,,4.0,0.1781831582826607,4.0,50.0,14.0,21.0,5.181831582826607,23.5,1.25,21.5,0.0,0.0,0.0
