횡단보도ID,seed,행정동,읍면동명,시나리오,사고건수_원본,노인비율,LANES,MAX_SPD,crossing_length_m,ped_green_base_sec,risk_score,PET_A_proxy_count,PET_A_proxy_mean,PET_A_proxy_severe,PET_A_proxy_moderate,PET_A_proxy_safe,PET_B_surrogate_count,PET_B_surrogate_mean,PET_B_surrogate_severe,PET_B_surrogate_moderate,PET_B_surrogate_safe,elderly_incomplete_cross,veh_avg_delay_sec,veh_max_delay_sec,queue_avg,queue_max
23040,42,중림동,봉래동2가,baseline,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,19.448362720403022,82.0,0.05038022813688213,3
23040,43,중림동,봉래동2가,baseline,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,23.172768878718536,78.5,0.035891450248030345,2
23040,44,중림동,봉래동2가,baseline,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,15.90423162583519,81.5,0.04651879235982748,3
23040,45,중림동,봉래동2가,baseline,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,13.67970401691332,77.5,0.0414154236750238,2
23040,42,중림동,봉래동2가,smart,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,19.448362720403022,82.0,0.05038022813688213,3
23040,43,중림동,봉래동2가,smart,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,23.172768878718536,78.5,0.035891450248030345,2
23040,44,중림동,봉래동2가,smart,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,15.90423162583519,81.5,0.04651879235982748,3
23040,45,중림동,봉래동2가,smart,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,13.67970401691332,77.5,0.0414154236750238,2
9494,42,신당동,신당동,baseline,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,0,,0,0,0,12,-0.05453123895457531,11,1,0,4,6.221662468513854,68.0,0.0,0
9494,43,신당동,신당동,baseline,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,21,16.38095238095238,0,2,19,13,0.12551835934498995,11,2,0,2,7.283256880733945,74.5,0.000469630557294928,1
