횡단보도ID,seed,행정동,읍면동명,시나리오,사고건수_원본,노인비율,LANES,MAX_SPD,crossing_length_m,ped_green_base_sec,risk_score,PET_A_proxy_count,PET_A_proxy_mean,PET_A_proxy_severe,PET_A_proxy_moderate,PET_A_proxy_safe,PET_B_surrogate_count,PET_B_surrogate_mean,PET_B_surrogate_severe,PET_B_surrogate_moderate,PET_B_surrogate_safe,elderly_incomplete_cross,veh_avg_delay_sec,veh_max_delay_sec,queue_avg,queue_max
23040,42,중림동,봉래동2가,baseline,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,12.545663265306121,83.0,0.03760296799346036,2
23040,43,중림동,봉래동2가,baseline,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,15.891990846681924,78.3,0.0475235072168653,2
23040,42,중림동,봉래동2가,smart,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,12.545663265306121,83.0,0.03760296799346036,2
23040,43,중림동,봉래동2가,smart,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,15.891990846681924,78.3,0.0475235072168653,2
9494,42,신당동,신당동,baseline,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,0,,0,0,0,5,0.7262799010187615,3,2,0,0,6.165994962216624,68.4,0.0,0
9494,43,신당동,신당동,baseline,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,18,9.088888888888846,0,0,18,5,-0.13960753206387824,5,0,0,1,7.094482758620689,76.6,9.517162616585242e-05,1
9494,42,신당동,신당동,smart,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,0,,0,0,0,11,0.10847586499890129,7,4,0,3,6.090680100755668,68.4,0.0,0
9494,43,신당동,신당동,smart,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,2,5.25,0,0,2,5,-2.1175838739250628,5,0,0,1,7.02,76.6,0.00446941642191291,1
6122,42,회현동,남창동,baseline,3.0,0.2946596858638743,3.0,50.0,10.5,17.5,5.546596858638744,0,,0,0,0,0,,0,0,0,0,0.6362264150943397,17.6,0.0015266439544899403,1
6122,43,회현동,남창동,baseline,3.0,0.2946596858638743,3.0,50.0,10.5,17.5,5.546596858638744,0,,0,0,0,0,,0,0,0,0,0.8110344827586207,17.4,0.0009137311739870187,1
6122,42,회현동,남창동,smart,3.0,0.2946596858638743,3.0,50.0,10.5,17.5,5.546596858638744,0,,0,0,0,0,,0,0,0,0,0.6362264150943397,17.6,0.0015266439544899403,1
6122,43,회현동,남창동,smart,3.0,0.2946596858638743,3.0,50.0,10.5,17.5,5.546596858638744,0,,0,0,0,0,,0,0,0,0,0.8110344827586207,17.4,0.0009137311739870187,1
