횡단보도ID,seed,veh_per_hour,ped_lambda,elderly_ratio,ped_count
23040,42,915.395991994981,487.0,0.1901991313611407,956
23040,43,1009.0334919949811,426.0,0.1901991313611407,883
23040,44,1045.370991994981,161.0,0.1901991313611407,315
23040,45,1103.383491994981,387.0,0.1901991313611407,757
9494,42,915.395991994981,487.0,0.1998197792295562,956
9494,43,1009.0334919949811,426.0,0.1998197792295562,883
9494,44,1045.370991994981,161.0,0.1998197792295562,315
9494,45,1103.383491994981,387.0,0.1998197792295562,757
6122,42,610.2639946633208,487.0,0.2946596858638743,956
6122,43,672.6889946633207,426.0,0.2946596858638743,883
6122,44,696.9139946633208,161.0,0.2946596858638743,315
6122,45,735.5889946633207,387.0,0.2946596858638743,757
6213,42,1830.791983989962,487.0,0.2946596858638743,956
6213,43,2018.0669839899622,426.0,0.2946596858638743,883
6213,44,2090.741983989962,161.0,0.2946596858638743,315
6213,45,2206.766983989962,387.0,0.2946596858638743,757
71666,42,610.2639946633208,487.0,0.1781831582826607,956
71666,43,672.6889946633207,426.0,0.1781831582826607,883
71666,44,696.9139946633208,161.0,0.1781831582826607,315
71666,45,735.5889946633207,387.0,0.1781831582826607,757
125895,42,915.395991994981,487.0,0.1998197792295562,956
125895,43,1009.0334919949811,426.0,0.1998197792295562,883
125895,44,1045.370991994981,161.0,0.1998197792295562,315
125895,45,1103.383491994981,387.0,0.1998197792295562,757
8430,42,915.395991994981,487.0,0.1998197792295562,956
8430,43,1009.0334919949811,426.0,0.1998197792295562,883
8430,44,1045.370991994981,161.0,0.1998197792295562,315
8430,45,1103.383491994981,387.0,0.1998197792295562,757
9628,42,915.395991994981,487.0,0.1901991313611407,956
9628,43,1009.0334919949811,426.0,0.1901991313611407,883
9628,44,1045.370991994981,161.0,0.1901991313611407,315
9628,45,1103.383491994981,387.0,0.1901991313611407,757
8340,42,457.6979959974905,487.0,0.1781831582826607,956
8340,43,504.51674599749055,426.0,0.1781831582826607,883
8340,44,522.6854959974905,161.0,0.1781831582826607,315
8340,45,551.6917459974904,387.0,0.1781831582826607,757
6511,42,610.2639946633208,487.0,0.2357627618766598,956
6511,43,672.6889946633207,426.0,0.2357627618766598,883
6511,44,696.9139946633208,161.0,0.2357627618766598,315
6511,45,735.5889946633207,387.0,0.2357627618766598,757
6428,42,457.6979959974905,487.0,0.2946596858638743,956
6428,43,504.51674599749055,426.0,0.2946596858638743,883
6428,44,522.6854959974905,161.0,0.2946596858638743,315
6428,45,551.6917459974904,387.0,0.2946596858638743,757
5831,42,457.6979959974905,487.0,0.1901991313611407,956
5831,43,504.51674599749055,426.0,0.1901991313611407,883
5831,44,522.6854959974905,161.0,0.1901991313611407,315
5831,45,551.6917459974904,387.0,0.1901991313611407,757
