횡단보도ID,행정동,읍면동명,시나리오,PET_A_proxy_고위험,PET_B_surrogate_고위험,고령자미완료횡단,차량평균지체_초,차량최대지체_초,평균대기행렬_대,최대대기행렬_대,PET_A_proxy_평균,PET_B_surrogate_평균,사고건수_원본,노인비율,LANES,MAX_SPD,crossing_length_m,ped_green_base_sec,risk_score,PET_A_proxy_count,PET_A_proxy_moderate,PET_A_proxy_safe,PET_B_surrogate_count,PET_B_surrogate_moderate,PET_B_surrogate_safe
23040,중림동,봉래동2가,baseline,0.0,0.0,0.0,81.48545474992729,100.0,1.055017361111111,3.0,,,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611406,0.0,0.0,0.0,0.0,0.0,0.0
23040,중림동,봉래동2가,smart,0.0,0.0,0.0,81.48545474992729,100.0,1.055017361111111,3.0,,,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611406,0.0,0.0,0.0,0.0,0.0,0.0
9494,신당동,신당동,baseline,0.5833333333333334,123.58333333333331,36.083333333333336,43.52117656467072,98.375,0.1759246331057852,2.25,16.727409303777552,-3.89801879988171,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,80.91666666666667,0.8333333333333334,79.5,161.5,37.916666666666664,0.0
9494,신당동,신당동,smart,1.4166666666666667,43.583333333333336,13.333333333333334,44.39770814266037,98.16666666666669,0.2291076604897497,2.4166666666666665,17.12168585720182,-5.233917077173309,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,84.91666666666667,1.1666666666666667,82.33333333333333,58.0,14.416666666666666,0.0
6122,회현동,남창동,baseline,0.0,0.0,0.0,11.426481566467968,85.58333333333333,0.2946397147476888,2.9166666666666665,,,3.0,0.2946596858638743,3.0,50.0,10.5,17.5,5.546596858638744,0.0,0.0,0.0,0.0,0.0,0.0
6122,회현동,남창동,smart,0.0,0.0,0.0,11.426481566467968,85.58333333333333,0.2946397147476888,2.9166666666666665,,,3.0,0.2946596858638743,3.0,50.0,10.5,17.5,5.546596858638744,0.0,0.0,0.0,0.0,0.0,0.0
6213,회현동,남창동,baseline,0.0,0.0,0.0,73.28055165993533,100.0,0.0012422839506172,1.0,,,4.0,0.2946596858638743,1.0,50.0,3.5,10.5,5.446596858638743,0.0,0.0,0.0,0.0,0.0,0.0
6213,회현동,남창동,smart,0.0,0.0,0.0,73.28055165993533,100.0,0.0012422839506172,1.0,,,4.0,0.2946596858638743,1.0,50.0,3.5,10.5,5.446596858638743,0.0,0.0,0.0,0.0,0.0,0.0
71666,장충동,장충동1가,baseline,105.75,334.9166666666667,61.25,78.38475845702682,100.0,4.024290674603175,13.166666666666666,6.928883784595789,-45.52717498713464,5.0,0.1781831582826607,3.0,50.0,10.5,17.5,5.3818315828266075,619.25,95.25,418.25,334.9166666666667,0.0,0.0
71666,장충동,장충동1가,smart,93.91666666666669,312.4166666666667,56.0,77.23135152568254,100.0,3.9829199735449743,13.0,8.606911511402814,-43.56201872542828,5.0,0.1781831582826607,3.0,50.0,10.5,17.5,5.3818315828266075,702.75,75.83333333333333,533.0,312.4166666666667,0.0,0.0
125895,신당동,신당동,baseline,137.83333333333334,0.0,0.0,4.642456083351957,75.375,0.0023326797443835,1.0,6.8478987779921985,,5.0,0.1998197792295562,2.0,60.0,7.0,14.0,5.338197792295561,779.6666666666666,192.41666666666663,449.4166666666667,0.0,0.0,0.0
125895,신당동,신당동,smart,137.83333333333334,0.0,0.0,4.642456083351957,75.375,0.0023326797443835,1.0,6.8478987779921985,,5.0,0.1998197792295562,2.0,60.0,7.0,14.0,5.338197792295561,779.6666666666666,192.41666666666663,449.4166666666667,0.0,0.0,0.0
8430,신당동,신당동,baseline,138.41666666666666,449.0,102.91666666666669,14.79937202575001,97.08333333333331,0.9925869702025296,6.0,8.437099993071186,-25.2428489384468,5.0,0.1998197792295562,2.0,50.0,7.0,14.0,5.298197792295562,398.9166666666667,73.58333333333333,186.91666666666663,498.6666666666667,49.666666666666664,0.0
8430,신당동,신당동,smart,91.41666666666669,310.8333333333333,70.58333333333333,14.46601143518639,97.54166666666669,0.9757148916170776,6.0,8.587275055004628,-21.402730405810228,5.0,0.1998197792295562,2.0,50.0,7.0,14.0,5.298197792295562,315.9166666666667,45.5,179.0,349.8333333333333,39.0,0.0
9628,중림동,만리동2가,baseline,342.5833333333333,0.0,0.0,3.774605674648323,75.33333333333333,0.0657266181123934,4.25,1.914014431160896,,5.0,0.1901991313611407,2.0,50.0,7.0,14.0,5.2019913136114075,848.0,378.75,126.66666666666669,0.0,0.0,0.0
9628,중림동,만리동2가,smart,342.5833333333333,0.0,0.0,3.774605674648323,75.33333333333333,0.0657266181123934,4.25,1.914014431160896,,5.0,0.1901991313611407,2.0,50.0,7.0,14.0,5.2019913136114075,848.0,378.75,126.66666666666669,0.0,0.0,0.0
8340,장충동,장충동1가,baseline,27.25,0.0,0.0,0.9440348495491518,25.25,0.0008294753086419,1.0,11.6946153990965,,4.0,0.1781831582826607,4.0,50.0,14.0,21.0,5.181831582826606,358.5,41.166666666666664,290.0833333333333,0.0,0.0,0.0
8340,장충동,장충동1가,smart,27.25,0.0,0.0,0.9440348495491518,25.25,0.0008294753086419,1.0,11.6946153990965,,4.0,0.1781831582826607,4.0,50.0,14.0,21.0,5.181831582826606,358.5,41.166666666666664,290.0833333333333,0.0,0.0,0.0
6511,명동,충무로2가,baseline,237.91666666666663,0.0,0.0,29.606288852653595,81.20833333333333,1.5147837271418692,4.5,5.648693652628091,,3.0,0.2357627618766598,3.0,50.0,10.5,17.5,4.957627618766599,696.5833333333334,193.91666666666663,264.75,0.0,0.0,0.0
6511,명동,충무로2가,smart,237.91666666666663,0.0,0.0,29.606288852653595,81.20833333333333,1.5147837271418692,4.5,5.648693652628091,,3.0,0.2357627618766598,3.0,50.0,10.5,17.5,4.957627618766599,696.5833333333334,193.91666666666663,264.75,0.0,0.0,0.0
6428,회현동,회현동1가,baseline,73.0,0.0,0.0,1.6101448825111455,40.791666666666664,0.00143890357293,1.0,11.311183500721995,,1.0,0.2946596858638743,4.0,40.0,14.0,21.0,4.806596858638742,446.3333333333333,34.083333333333336,339.25,0.0,0.0,0.0
