횡단보도ID,seed,행정동,읍면동명,시나리오,사고건수_원본,노인비율,LANES,MAX_SPD,crossing_length_m,ped_green_base_sec,risk_score,PET_A_proxy_count,PET_A_proxy_mean,PET_A_proxy_severe,PET_A_proxy_moderate,PET_A_proxy_safe,PET_B_surrogate_count,PET_B_surrogate_mean,PET_B_surrogate_severe,PET_B_surrogate_moderate,PET_B_surrogate_safe,elderly_incomplete_cross,veh_avg_delay_sec,veh_max_delay_sec,queue_avg,queue_max
23040,42,중림동,봉래동2가,baseline,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,80.23559322033898,100.0,1.05875,3
23040,43,중림동,봉래동2가,baseline,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,78.21595744680852,100.0,1.0045833333333334,3
23040,44,중림동,봉래동2가,baseline,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,80.70678336980306,100.0,1.007638888888889,3
23040,45,중림동,봉래동2가,baseline,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,83.68351648351648,100.0,1.1510416666666667,3
23040,46,중림동,봉래동2가,baseline,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,83.83006912442396,100.0,1.2080555555555557,3
23040,47,중림동,봉래동2가,baseline,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,80.92497200447929,100.0,0.9616666666666667,3
23040,48,중림동,봉래동2가,baseline,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,74.83067092651757,100.0,0.9792361111111111,3
23040,49,중림동,봉래동2가,baseline,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,78.44034707158352,100.0,1.1445138888888888,3
23040,50,중림동,봉래동2가,baseline,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,86.81040462427745,100.0,1.1105555555555555,3
23040,51,중림동,봉래동2가,baseline,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,85.85868331441544,100.0,1.0320138888888888,3
23040,52,중림동,봉래동2가,baseline,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,83.01450892857143,100.0,0.9201388888888888,3
23040,53,중림동,봉래동2가,baseline,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,81.27395048439182,100.0,1.0820138888888888,3
23040,42,중림동,봉래동2가,smart,8.0,0.1901991313611407,2.0,50.0,7.0,14.0,6.701991313611407,0,,0,0,0,0,,0,0,0,0,80.23559322033898,100.0,1.05875,3
