횡단보도ID,seed,행정동,읍면동명,시나리오,사고건수_원본,노인비율,LANES,MAX_SPD,crossing_length_m,ped_green_base_sec,risk_score,PET_A_proxy_count,PET_A_proxy_mean,PET_A_proxy_severe,PET_A_proxy_moderate,PET_A_proxy_safe,PET_B_surrogate_count,PET_B_surrogate_mean,PET_B_surrogate_severe,PET_B_surrogate_moderate,PET_B_surrogate_safe,elderly_incomplete_cross,veh_avg_delay_sec,veh_max_delay_sec,queue_avg,queue_max
9494,42,신당동,신당동,baseline,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,0,,0,0,0,61,-1.8056607769756188,46,15,0,18,12.028571428571428,96.0,0.0,0
9494,43,신당동,신당동,baseline,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,45,15.6,0,0,45,44,-1.241408992134834,33,11,0,8,14.738447319778189,84.5,0.00619933237958989,1
9494,44,신당동,신당동,baseline,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,0,,0,0,0,16,0.9053167695473401,12,4,0,5,24.77442273534636,97.0,0.000625,1
9494,42,신당동,신당동,smart,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,0,,0,0,0,17,-8.922186738653084,15,2,0,7,30.625,100.0,0.0,0
9494,43,신당동,신당동,smart,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,36,21.444444444444443,0,0,36,16,-10.631840203219593,10,6,0,4,19.350277264325324,95.5,0.012211981566820277,1
9494,44,신당동,신당동,smart,7.0,0.1998197792295562,2.0,50.0,7.0,14.0,6.298197792295562,40,14.2125,0,0,40,5,0.9301009049090038,3,2,0,0,30.916221033868094,100.0,0.009791666666666667,1
71666,42,장충동,장충동1가,baseline,5.0,0.1781831582826607,3.0,50.0,10.5,17.5,5.3818315828266075,266,5.174812030075188,47,63,156,114,-38.46126424970476,114,0,0,25,48.28285714285714,100.0,2.580952380952381,13
71666,43,장충동,장충동1가,baseline,5.0,0.1781831582826607,3.0,50.0,10.5,17.5,5.3818315828266075,264,8.515151515151516,17,21,226,106,-30.0381538563668,106,0,0,16,60.93360433604336,100.0,3.1992261904761903,13
71666,44,장충동,장충동1가,baseline,5.0,0.1781831582826607,3.0,50.0,10.5,17.5,5.3818315828266075,232,5.474137931034483,25,43,164,97,-17.573999070281733,97,0,0,16,54.603274559193956,100.0,2.906904761904762,13
71666,42,장충동,장충동1가,smart,5.0,0.1781831582826607,3.0,50.0,10.5,17.5,5.3818315828266075,322,7.318322981366459,53,38,231,102,-36.306616978298145,102,0,0,21,48.47857142857143,100.0,2.578392857142857,13
71666,43,장충동,장충동1가,smart,5.0,0.1781831582826607,3.0,50.0,10.5,17.5,5.3818315828266075,289,7.591695501730104,38,35,216,142,-51.84681491927628,142,0,0,17,64.19220430107526,100.0,3.285892857142857,13
71666,44,장충동,장충동1가,smart,5.0,0.1781831582826607,3.0,50.0,10.5,17.5,5.3818315828266075,232,7.9030172413793105,32,25,175,49,-50.99807113602024,49,0,0,8,60.31234256926952,100.0,2.914702380952381,13
8430,42,신당동,신당동,baseline,5.0,0.1998197792295562,2.0,50.0,7.0,14.0,5.298197792295562,183,11.726775956284152,59,32,92,187,-9.73909616949454,169,18,0,37,9.522403258655805,97.5,0.9175,6
8430,43,신당동,신당동,baseline,5.0,0.1998197792295562,2.0,50.0,7.0,14.0,5.298197792295562,86,2.13953488372093,55,26,5,167,-15.118494364062094,151,16,0,35,7.913636363636364,97.0,0.657,6
8430,44,신당동,신당동,baseline,5.0,0.1998197792295562,2.0,50.0,7.0,14.0,5.298197792295562,81,16.808641975308642,13,3,65,111,-10.822222570189673,97,14,0,19,8.115523465703971,100.0,0.7891666666666667,6
8430,42,신당동,신당동,smart,5.0,0.1998197792295562,2.0,50.0,7.0,14.0,5.298197792295562,168,12.931547619047619,34,24,110,131,-11.276594133224766,120,11,0,29,8.842158859470468,97.5,0.86225,6
8430,43,신당동,신당동,smart,5.0,0.1998197792295562,2.0,50.0,7.0,14.0,5.298197792295562,44,1.7613636363636365,27,13,4,116,-7.222908967869661,102,14,0,27,8.585454545454546,97.5,0.7353333333333333,6
8430,44,신당동,신당동,smart,5.0,0.1998197792295562,2.0,50.0,7.0,14.0,5.298197792295562,44,20.897727272727273,5,2,37,76,-8.168334467833004,70,6,0,16,8.239169675090253,97.0,0.8448333333333333,6
