scenario,scenario_key,seed,time,tls,cw_id,count
S2,smart_single,42,197.0,N2,CW1,1
S2,smart_single,42,198.0,N2,CW1,2
S2,smart_single,42,408.0,N2,CW1,1
S2,smart_single,42,409.0,N2,CW1,2
S2,smart_single,42,513.0,N2,CW1,1
S2,smart_single,42,527.0,N2,CW1,2
S2,smart_single,42,631.0,N2,CW1,1
S2,smart_single,42,632.0,N2,CW1,2
S2,smart_single,42,736.0,N2,CW1,1
S2,smart_single,42,740.0,N2,CW1,2
S2,smart_single,42,855.0,N2,CW1,1
S2,smart_single,42,856.0,N2,CW1,2
S2,smart_single,42,957.0,N2,CW1,1
S2,smart_single,42,962.0,N2,CW1,2
S2,smart_single,42,1169.0,N2,CW1,1
S2,smart_single,42,1174.0,N2,CW1,2
S2,smart_single,42,1383.0,N2,CW1,1
S2,smart_single,42,1386.0,N2,CW1,2
S2,smart_single,42,1492.0,N2,CW1,1
S2,smart_single,42,1497.0,N2,CW1,2
S2,smart_single,42,1607.0,N2,CW1,1
S2,smart_single,42,1608.0,N2,CW1,2
S2,smart_single,42,1714.0,N2,CW1,1
S2,smart_single,42,1723.0,N2,CW1,2
S2,smart_single,42,1828.0,N2,CW1,1
S2,smart_single,42,1830.0,N2,CW1,2
S2,smart_single,42,2138.0,N2,CW1,1
S2,smart_single,42,2144.0,N2,CW1,2
S2,smart_single,42,2255.0,N2,CW1,1
S2,smart_single,42,2256.0,N2,CW1,2
S2,smart_single,42,2364.0,N2,CW1,1
S2,smart_single,42,2365.0,N2,CW1,2
S2,smart_single,42,2572.0,N2,CW1,1
S2,smart_single,42,2578.0,N2,CW1,2
S2,smart_single,42,2683.0,N2,CW1,1
S2,smart_single,42,2688.0,N2,CW1,2
S2,smart_single,42,2794.0,N2,CW1,1
S2,smart_single,42,2805.0,N2,CW1,2
S2,smart_single,42,2905.0,N2,CW1,1
S2,smart_single,42,3014.0,N2,CW1,1
S2,smart_single,42,3016.0,N2,CW1,2
S2,smart_single,42,3122.0,N2,CW1,1
S2,smart_single,42,3233.0,N2,CW1,1
S2,smart_single,42,3234.0,N2,CW1,2
S2,smart_single,42,3340.0,N2,CW1,1
S2,smart_single,42,3344.0,N2,CW1,2
S2,smart_single,42,3451.0,N2,CW1,1
S2,smart_single,42,3455.0,N2,CW1,2
S3,smart_multi,42,179.0,N6,CW3,1
S3,smart_multi,42,180.0,N6,CW3,2
S3,smart_multi,42,197.0,N2,CW1,1
S3,smart_multi,42,198.0,N2,CW1,2
S3,smart_multi,42,376.0,N3,CW2,1
S3,smart_multi,42,377.0,N3,CW2,2
S3,smart_multi,42,408.0,N2,CW1,1
S3,smart_multi,42,409.0,N2,CW1,2
S3,smart_multi,42,453.0,N6,CW3,1
S3,smart_multi,42,458.0,N6,CW3,2
S3,smart_multi,42,473.0,N3,CW2,1
S3,smart_multi,42,478.0,N3,CW2,2
S3,smart_multi,42,519.0,N2,CW1,1
S3,smart_multi,42,520.0,N2,CW1,2
S3,smart_multi,42,578.0,N3,CW2,1
S3,smart_multi,42,588.0,N3,CW2,2
S3,smart_multi,42,631.0,N2,CW1,1
S3,smart_multi,42,632.0,N2,CW1,2
S3,smart_multi,42,645.0,N6,CW3,1
S3,smart_multi,42,650.0,N6,CW3,2
S3,smart_multi,42,683.0,N3,CW2,1
S3,smart_multi,42,737.0,N2,CW1,1
S3,smart_multi,42,740.0,N2,CW1,2
S3,smart_multi,42,754.0,N6,CW3,1
S3,smart_multi,42,755.0,N6,CW3,2
S3,smart_multi,42,783.0,N3,CW2,1
S3,smart_multi,42,795.0,N3,CW2,2
S3,smart_multi,42,855.0,N2,CW1,1
S3,smart_multi,42,856.0,N2,CW1,2
S3,smart_multi,42,942.0,N6,CW3,1
S3,smart_multi,42,943.0,N6,CW3,2
S3,smart_multi,42,957.0,N2,CW1,1
S3,smart_multi,42,962.0,N2,CW1,2
S3,smart_multi,42,983.0,N3,CW2,1
S3,smart_multi,42,1039.0,N6,CW3,1
