scenario,scenario_key,seed,vehicle_avg_wait_sec,vehicle_max_queue_veh,ped_avg_wait_sec,pet_mean_sec,elderly_pet_mean_sec,normal_pet_mean_sec,severe_conflicts,medium_conflicts,conflict_total,elderly_severe_conflicts,normal_severe_conflicts,elderly_incomplete_crossing,normal_incomplete_crossing,elderly_total_pedestrians,normal_total_pedestrians,total_pedestrians,elderly_risk_score,normal_risk_score,total_risk_score,spillback_count
S1,baseline,42,89.65884194053208,32,16.53927392739274,8.26923076923077,7.906040268456376,8.345557122708039,642,22,664,111,531,42,113,374,1621,1995,0.7419786096256684,0.32757557063541026,0.4052631578947368,139
S2,smart_single,42,87.70551181102363,35,16.88866864882722,9.348729792147806,8.526666666666667,9.52094972067039,629,14,643,112,517,35,100,375,1630,2005,0.7466666666666667,0.31717791411042945,0.3975062344139651,191
S3,smart_multi,42,82.3375,32,16.4403305785124,10.91529411764706,10.662162162162161,10.968660968660968,598,22,620,105,493,30,96,374,1623,1997,0.7018716577540107,0.303758471965496,0.3783174762143215,147
S1,baseline,43,88.19470404984423,31,17.372108393919365,10.698598130841122,10.71523178807947,10.695035460992909,639,9,648,117,522,27,97,376,1620,1996,0.7779255319148937,0.32222222222222224,0.40806613226452904,109
S2,smart_single,43,83.39313572542902,31,17.252478519497686,8.207656612529002,8.774834437086092,8.08720112517581,636,7,643,113,523,29,93,376,1626,2002,0.7513297872340425,0.3216482164821648,0.40234765234765235,124
S3,smart_multi,43,77.57387247278382,30,17.17499173006947,10.339264531435349,11.489795918367347,10.096264367816092,597,18,615,106,491,25,82,373,1619,1992,0.710455764075067,0.30327362569487337,0.3795180722891566,125
S1,baseline,44,84.02003081664098,32,17.383828382838285,9.182030338389731,8.46,9.335219236209335,641,6,647,115,526,29,92,372,1622,1994,0.7728494623655914,0.3242909987669544,0.4079739217652959,75
S2,smart_single,44,84.08411214953271,35,17.38943894389439,8.316091954022989,8.671052631578947,8.240947075208913,653,10,663,117,536,27,80,375,1632,2007,0.78,0.3284313725490196,0.4128051818634778,155
S3,smart_multi,44,74.0031007751938,30,17.507102741988767,12.123368920521946,11.885135135135135,12.17410071942446,576,7,583,103,473,19,77,372,1616,1988,0.6922043010752689,0.2926980198019802,0.3674547283702213,101
S1,baseline,45,85.66976744186047,31,17.110670630987777,9.706293706293707,10.516556291390728,9.533239038189533,630,12,642,113,517,34,98,376,1618,1994,0.7513297872340425,0.3195302843016069,0.40095285857572716,71
S2,smart_single,45,86.1585557299843,34,17.142904290429044,7.717416378316032,7.0855263157894735,7.851748251748251,634,28,662,111,523,35,89,376,1625,2001,0.738031914893617,0.32184615384615384,0.40004997501249373,192
S3,smart_multi,45,68.83410852713179,29,17.353018805674694,8.183962264150944,8.697986577181208,8.074391988555078,640,7,647,105,535,30,72,376,1624,2000,0.6981382978723404,0.3294334975369458,0.39875,101
S1,baseline,46,86.1906976744186,31,17.336640211640212,9.15606936416185,9.111842105263158,9.165497896213184,646,8,654,116,530,35,98,378,1627,2005,0.7671957671957672,0.3257529194837124,0.4089775561097257,74
S2,smart_single,46,89.37089201877934,35,17.06770145310436,10.120137299771168,8.728476821192054,10.410788381742739,644,12,656,114,530,31,99,377,1638,2015,0.7559681697612732,0.3235653235653236,0.4044665012406948,208
S3,smart_multi,46,80.14930015552099,32,16.90515532055519,12.953596287703016,13.406666666666666,12.85814606741573,581,7,588,96,485,26,78,376,1627,2003,0.6382978723404256,0.2980946527350953,0.3619570644033949,180
