scenario,scenario_key,seed,cw_id,ped_type,pet_sec
S1,baseline,42,CW1,normal_ped,9.0
S1,baseline,42,CW1,normal_ped,11.0
S1,baseline,42,CW2,elderly_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,1.0
S1,baseline,42,CW1,elderly_ped,0.0
S1,baseline,42,CW1,elderly_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,6.0
S1,baseline,42,CW1,normal_ped,10.0
S1,baseline,42,CW2,elderly_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,elderly_ped,5.0
S1,baseline,42,CW2,normal_ped,6.0
S1,baseline,42,CW2,normal_ped,7.0
S1,baseline,42,CW1,elderly_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,5.0
S1,baseline,42,CW1,normal_ped,6.0
S1,baseline,42,CW1,normal_ped,9.0
S1,baseline,42,CW1,normal_ped,11.0
S1,baseline,42,CW2,elderly_ped,0.0
S1,baseline,42,CW2,elderly_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,elderly_ped,2.0
S1,baseline,42,CW1,elderly_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,2.0
S1,baseline,42,CW1,normal_ped,4.0
S1,baseline,42,CW1,elderly_ped,3.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,elderly_ped,1.0
S1,baseline,42,CW2,elderly_ped,7.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,2.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,elderly_ped,2.0
S1,baseline,42,CW2,elderly_ped,0.0
S1,baseline,42,CW2,elderly_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,1.0
S1,baseline,42,CW2,normal_ped,1.0
S1,baseline,42,CW2,normal_ped,8.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,1.0
S1,baseline,42,CW1,elderly_ped,4.0
S1,baseline,42,CW2,elderly_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,normal_ped,0.0
S1,baseline,42,CW2,elderly_ped,0.0
S1,baseline,42,CW1,elderly_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
S1,baseline,42,CW1,normal_ped,0.0
