scenario,scenario_key,seed,cw_id,node_id,distance_from_cw1_m,vehicle_avg_wait_sec,vehicle_max_queue_veh,ped_avg_wait_sec,pet_mean_sec,pet_sample_count,elderly_pet_mean_sec,elderly_pet_sample_count,normal_pet_mean_sec,normal_pet_sample_count,severe_conflicts,medium_conflicts,elderly_severe_conflicts,normal_severe_conflicts,elderly_moderate_conflicts,normal_moderate_conflicts,elderly_incomplete_crossing,normal_incomplete_crossing,elderly_total_pedestrians,normal_total_pedestrians,total_pedestrians,elderly_risk_score,normal_risk_score,total_risk_score,spillback_count
S1,baseline,42,CW1,N2,0.0,50.57142857142857,32,19.56393442622951,0.5179856115107914,278,0.43243243243243246,37,0.5311203319502075,241,250,7,33,217,1,6,2,15,37,241,278,2.22972972972973,0.9004149377593361,1.0773381294964028,139
S1,baseline,42,CW2,N3,200.0,52.004938271604935,19,22.363057324840764,1.768421052631579,285,1.671641791044776,67,1.798165137614679,218,263,2,60,203,1,1,7,8,67,218,285,2.2388059701492535,0.9311926605504587,1.2385964912280703,0
S1,baseline,42,CW3,N6,150.0,148.7483870967742,22,16.753012048192772,0.3770491803278688,61,0.0,8,0.4339622641509434,53,56,1,8,48,0,1,2,6,21,133,154,0.9523809523809523,0.3609022556390977,0.44155844155844154,0
S1,baseline,42,CW4,N7,250.0,52.55789473684211,8,22.674698795180724,5.850574712643678,87,6.142857142857143,14,5.794520547945205,73,62,2,8,54,0,2,3,16,36,189,225,0.5555555555555556,0.2857142857142857,0.3288888888888889,0
S1,baseline,42,CW5,N10,300.0,341.7368421052632,4,0.04017857142857143,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
S1,baseline,42,CW6,N11,360.56,,0,0.06622516556291391,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
S1,baseline,42,CW7,N5,250.0,,0,30.429577464788732,,0,,0,,0,0,0,0,0,0,0,19,34,119,284,403,0.0,0.0,0.0,0
S1,baseline,42,CW8,N8,427.2,52.765957446808514,0,0.02727272727272727,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
S1,baseline,42,CW9,N1,200.0,62.44444444444444,0,18.416470588235295,40.23809523809524,147,41.91304347826087,23,39.92741935483871,124,11,10,2,9,1,9,5,20,58,328,386,0.08620689655172414,0.027439024390243903,0.03626943005181347,0
S1,baseline,42,CW10,N12,500.0,,0,27.231833910034602,,0,,0,,0,0,0,0,0,0,0,4,14,36,228,264,0.0,0.0,0.0,0
S2,smart_single,42,CW1,N2,0.0,46.09690721649485,35,18.323529411764707,0.5263157894736842,285,0.24324324324324326,37,0.5685483870967742,248,250,8,34,216,1,7,1,13,37,248,285,2.2972972972972974,0.8709677419354839,1.056140350877193,191
S2,smart_single,42,CW2,N3,200.0,55.78132678132678,22,23.168789808917197,7.503496503496503,286,7.5588235294117645,68,7.486238532110092,218,242,3,56,186,1,2,6,7,68,218,286,2.0588235294117645,0.8532110091743119,1.1398601398601398,0
S2,smart_single,42,CW3,N6,150.0,129.4904458598726,22,17.16867469879518,0.3770491803278688,61,0.0,8,0.4339622641509434,53,57,0,8,49,0,0,2,5,21,133,154,0.9523809523809523,0.3684210526315789,0.44805194805194803,0
S2,smart_single,42,CW4,N7,250.0,51.694736842105264,8,23.41532258064516,8.149425287356323,87,5.785714285714286,14,8.602739726027398,73,60,1,10,50,0,1,2,13,36,189,225,0.6944444444444444,0.26455026455026454,0.3333333333333333,0
S2,smart_single,42,CW5,N10,300.0,256.3,3,0.03125,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
S2,smart_single,42,CW6,N11,360.56,,0,0.0695364238410596,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
S2,smart_single,42,CW7,N5,250.0,,0,30.737089201877936,,0,,0,,0,0,0,0,0,0,0,17,33,119,285,404,0.0,0.0,0.0,0
S2,smart_single,42,CW8,N8,427.2,51.88297872340426,0,0.0243161094224924,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
S2,smart_single,42,CW9,N1,200.0,48.724137931034484,0,18.978823529411766,34.476190476190474,147,29.347826086956523,23,35.42741935483871,124,20,2,4,16,0,2,3,20,58,328,386,0.1724137931034483,0.04878048780487805,0.06735751295336788,0
S2,smart_single,42,CW10,N12,500.0,,0,29.222996515679444,,0,,0,,0,0,0,0,0,0,0,4,9,36,229,265,0.0,0.0,0.0,0
S3,smart_multi,42,CW1,N2,0.0,46.16869918699187,32,18.24590163934426,0.4631578947368421,285,0.2702702702702703,37,0.49193548387096775,248,253,10,34,219,2,8,0,12,37,248,285,2.2972972972972974,0.8830645161290323,1.0666666666666667,147
S3,smart_multi,42,CW2,N3,200.0,45.93414634146342,21,21.659163987138264,8.489208633093526,278,9.08955223880597,67,8.298578199052132,211,221,9,55,166,2,7,1,6,67,211,278,2.0522388059701493,0.7867298578199052,1.091726618705036,0
S3,smart_multi,42,CW3,N6,150.0,132.05454545454546,22,13.846153846153847,0.06779661016949153,59,0.25,8,0.0392156862745098,51,57,2,7,50,1,1,1,0,21,134,155,0.8333333333333334,0.373134328358209,0.43548387096774194,0
S3,smart_multi,42,CW4,N7,250.0,55.21649484536083,9,21.951612903225808,12.333333333333334,81,12.615384615384615,13,12.279411764705882,68,49,1,6,43,0,1,3,18,36,189,225,0.4166666666666667,0.2275132275132275,0.2577777777777778,0
S3,smart_multi,42,CW5,N10,300.0,297.7083333333333,4,0.03125,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
S3,smart_multi,42,CW6,N11,360.56,,0,0.06291390728476821,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
